timestamp,fish_id,x_coordinate,y_coordinate
1765305152.0930343,16,1047,670
1765305152.14515,1,538,393
1765305152.14515,9,647,580
1765305152.14515,7,674,537
1765305152.14515,22,403,424
1765305152.14515,3,344,349
1765305152.14515,5,387,194
1765305152.14515,12,445,411
1765305152.14515,2,270,456
1765305152.14515,4,361,488
1765305152.14515,27,322,272
1765305152.14515,31,369,270
1765305152.14515,30,332,237
1765305152.14515,6,326,310
1765305152.14515,8,265,518
1765305152.14515,16,1047,669
1765305152.2039847,1,538,393
1765305152.2039847,22,406,427
1765305152.2039847,7,675,537
1765305152.2039847,9,648,581
1765305152.2039847,3,345,348
1765305152.2039847,5,388,196
1765305152.2039847,12,447,413
1765305152.2039847,8,268,518
1765305152.2039847,27,319,270
1765305152.2039847,2,271,460
1765305152.2039847,4,361,488
1765305152.2039847,31,368,268
1765305152.2039847,6,328,311
1765305152.2039847,35,330,229
1765305152.2039847,30,332,235
1765305152.2039847,23,327,160
1765305152.2039847,10,327,181
1765305152.2039847,16,1051,669
1765305152.321952,1,540,394
1765305152.321952,22,407,429
1765305152.321952,9,648,581
1765305152.321952,3,345,347
1765305152.321952,7,676,537
1765305152.321952,5,388,196
1765305152.321952,12,450,414
1765305152.321952,8,271,518
1765305152.321952,27,319,269
1765305152.321952,2,271,461
1765305152.321952,4,361,489
1765305152.321952,35,333,230
1765305152.321952,6,329,310
1765305152.321952,10,327,180
1765305152.321952,23,327,160
1765305152.321952,16,1045,670
1765305152.321952,31,367,267
1765305152.4654083,1,543,396
1765305152.4654083,3,344,345
1765305152.4654083,8,273,517
1765305152.4654083,7,677,537
1765305152.4654083,27,320,268
1765305152.4654083,9,649,580
1765305152.4654083,5,390,197
1765305152.4654083,22,410,433
1765305152.4654083,12,450,416
1765305152.4654083,4,360,491
1765305152.4654083,2,270,465
1765305152.4654083,35,331,227
1765305152.4654083,16,1047,669
1765305152.4654083,10,326,180
1765305152.4654083,31,377,267
1765305152.5453322,3,344,344
1765305152.5453322,1,545,397
1765305152.5453322,8,276,519
1765305152.5453322,27,320,267
1765305152.5453322,9,648,580
1765305152.5453322,7,678,536
1765305152.5453322,22,414,435
1765305152.5453322,4,360,490
1765305152.5453322,2,270,466
1765305152.5453322,12,449,420
1765305152.5453322,5,391,198
1765305152.5453322,35,330,226
1765305152.5453322,16,1050,669
1765305152.5453322,10,326,179
1765305152.6209035,3,346,344
1765305152.6209035,8,277,519
1765305152.6209035,1,547,397
1765305152.6209035,9,648,580
1765305152.6209035,7,679,536
1765305152.6209035,27,320,267
1765305152.6209035,22,416,438
1765305152.6209035,2,270,467
1765305152.6209035,4,360,490
1765305152.6209035,5,393,200
1765305152.6209035,12,456,423
1765305152.6209035,30,334,230
1765305152.6209035,38,382,269
1765305152.6209035,16,1051,670
1765305152.6209035,10,325,180
1765305152.750193,3,346,344
1765305152.750193,1,549,398
1765305152.750193,8,279,521
1765305152.750193,9,649,580
1765305152.750193,22,421,440
1765305152.750193,7,679,536
1765305152.750193,27,320,266
1765305152.750193,2,270,469
1765305152.750193,4,361,490
1765305152.750193,5,394,201
1765305152.750193,12,463,425
1765305152.750193,30,334,230
1765305152.750193,39,418,396
1765305152.750193,16,1051,669
1765305152.750193,10,324,180
1765305152.750193,38,384,269
1765305152.8351357,3,347,344
1765305152.8351357,1,551,399
1765305152.8351357,8,281,521
1765305152.8351357,9,649,581
1765305152.8351357,22,424,443
1765305152.8351357,7,679,535
1765305152.8351357,27,321,266
1765305152.8351357,2,270,469
1765305152.8351357,12,466,426
1765305152.8351357,4,360,489
1765305152.8351357,30,334,230
1765305152.8351357,5,395,203
1765305152.8351357,39,418,398
1765305152.8351357,10,324,181
1765305152.8351357,24,369,170
1765305152.8351357,38,386,269
1765305152.8351357,16,1051,671
1765305152.8914926,22,426,445
1765305152.8914926,9,650,581
1765305152.8914926,1,555,400
1765305152.8914926,3,347,344
1765305152.8914926,8,283,521
1765305152.8914926,7,679,535
1765305152.8914926,2,270,471
1765305152.8914926,5,396,203
1765305152.8914926,12,469,428
1765305152.8914926,4,358,489
1765305152.8914926,39,418,400
1765305152.8914926,30,333,230
1765305152.8914926,27,315,263
1765305152.8914926,10,324,182
1765305152.8914926,16,1051,670
1765305152.8914926,38,382,268
1765305152.9652553,9,650,582
1765305152.9652553,22,429,446
1765305152.9652553,1,555,401
1765305152.9652553,8,287,521
1765305152.9652553,3,344,342
1765305152.9652553,2,272,471
1765305152.9652553,7,679,535
1765305152.9652553,12,471,430
1765305152.9652553,4,357,489
1765305152.9652553,30,332,230
1765305152.9652553,5,396,204
1765305152.9652553,10,325,182
1765305152.9652553,40,329,294
1765305152.9652553,27,315,260
1765305152.9652553,16,1051,669
1765305152.9652553,39,421,406
1765305153.0379076,9,649,583
1765305153.0379076,1,557,401
1765305153.0379076,3,343,342
1765305153.0379076,5,395,205
1765305153.0379076,8,290,520
1765305153.0379076,12,473,431
1765305153.0379076,22,431,447
1765305153.0379076,7,679,535
1765305153.0379076,2,273,472
1765305153.0379076,4,356,489
1765305153.0379076,30,333,231
1765305153.0379076,16,1051,666
1765305153.0379076,10,324,181
1765305153.0379076,39,419,401
1765305153.0379076,40,329,291
1765305153.0379076,27,318,260
1765305153.0992546,9,647,585
1765305153.0992546,22,434,451
1765305153.0992546,1,558,402
1765305153.0992546,5,397,206
1765305153.0992546,3,347,342
1765305153.0992546,12,475,432
1765305153.0992546,8,295,522
1765305153.0992546,4,360,492
1765305153.0992546,7,681,535
1765305153.0992546,2,274,474
1765305153.0992546,30,332,228
1765305153.0992546,39,424,410
1765305153.0992546,10,323,183
1765305153.0992546,27,315,259
1765305153.0992546,23,327,155
1765305153.0992546,16,1052,669
1765305153.0992546,40,325,290
1765305153.1616764,9,645,585
1765305153.1616764,22,437,452
1765305153.1616764,1,558,403
1765305153.1616764,3,347,342
1765305153.1616764,12,476,433
1765305153.1616764,5,396,208
1765305153.1616764,4,357,492
1765305153.1616764,8,296,523
1765305153.1616764,2,275,475
1765305153.1616764,7,680,534
1765305153.1616764,30,331,228
1765305153.1616764,39,425,410
1765305153.1616764,27,315,258
1765305153.1616764,10,322,182
1765305153.1616764,23,326,156
1765305153.1616764,42,377,289
1765305153.1616764,40,326,290
1765305153.1616764,16,1052,671
1765305153.206006,9,643,585
1765305153.206006,3,347,342
1765305153.206006,22,440,455
1765305153.206006,4,355,493
1765305153.206006,1,560,404
1765305153.206006,8,299,522
1765305153.206006,2,275,476
1765305153.206006,12,480,439
1765305153.206006,7,680,534
1765305153.206006,30,330,227
1765305153.206006,5,394,210
1765305153.206006,39,426,412
1765305153.206006,27,316,257
1765305153.206006,10,322,182
1765305153.206006,23,326,156
1765305153.206006,42,376,289
1765305153.206006,16,1052,670
1765305153.206006,40,328,289
1765305153.2552776,9,643,585
1765305153.2552776,3,347,343
1765305153.2552776,4,355,493
1765305153.2552776,1,561,404
1765305153.2552776,22,444,455
1765305153.2552776,2,276,476
1765305153.2552776,8,304,523
1765305153.2552776,7,681,534
1765305153.2552776,12,481,439
1765305153.2552776,5,394,211
1765305153.2552776,30,329,227
1765305153.2552776,39,426,415
1765305153.2552776,27,318,255
1765305153.2552776,42,376,291
1765305153.2552776,10,322,182
1765305153.2552776,23,326,155
1765305153.2552776,16,1051,671
1765305153.2552776,40,328,288
1765305153.3011622,1,564,405
1765305153.3011622,3,347,344
1765305153.3011622,9,644,587
1765305153.3011622,4,354,492
1765305153.3011622,5,394,211
1765305153.3011622,22,447,457
1765305153.3011622,8,309,523
1765305153.3011622,2,276,477
1765305153.3011622,7,681,534
1765305153.3011622,12,484,441
1765305153.3011622,30,329,226
1765305153.3011622,39,426,416
1765305153.3011622,27,318,253
1765305153.3011622,42,373,296
1765305153.3011622,10,322,182
1765305153.3011622,23,325,154
1765305153.3011622,16,1051,669
1765305153.3011622,40,323,280
1765305153.3454936,9,644,586
1765305153.3454936,1,567,406
1765305153.3454936,3,347,345
1765305153.3454936,4,354,492
1765305153.3454936,8,312,523
1765305153.3454936,5,394,212
1765305153.3454936,2,277,477
1765305153.3454936,7,682,533
1765305153.3454936,22,451,457
1765305153.3454936,30,328,226
1765305153.3454936,39,426,416
1765305153.3454936,12,488,445
1765305153.3454936,27,318,251
1765305153.3454936,23,325,154
1765305153.3454936,42,373,299
